calle,calle_proper,plazas_pmr,plazas_total,metros_pmr,zonas_cyd,nplazas_cyd,metros_cyd,plazas_ora,tipo_ora,ubicacion_ora,latitude,longitude
"TORRE PEDRO DE MORALES, CALLE",Calle Torre Pedro de Morales,1,4,28.20,0,0,0.00,0,Ninguno,Ninguna,,
"TORTOLA, CALLE",Calle Tórtola,2,4,21.44,1,0,26.40,0,Ninguno,Ninguna,,
"TOTANA, CALLE",Calle Totana,1,1,8.40,0,0,0.00,0,Ninguno,Ninguna,,
CALLE TRAJANO,Calle Trajano,0,0,0.00,0,0,0.00,34,Azul,Toda la calle,,
"TRINIDAD MORCILLO, CALLE",Calle Trinidad Morcillo,1,1,5.70,0,0,0.00,0,Ninguno,Ninguna,,
"TRINIDAD, PLAZA, DE LA",Plaza de la Trinidad,1,2,12.90,1,0,14.50,0,Ninguno,Ninguna,,
"TRIUNFO, PLAZA, DEL",Plaza del Triunfo,1,1,6.50,1,0,12.50,0,Ninguno,Ninguna,,
"URUGUAY, CALLE",Calle Uruguay,4,4,25.00,0,0,0.00,0,Ninguno,Ninguna,,
"VALENCIA, CALLE",Calle Valencia,2,2,15.80,0,0,0.00,0,Ninguno,Ninguna,,
"VENEZUELA, CALLE",Calle Venezuela,2,2,11.80,0,0,0.00,0,Ninguno,Ninguna,,
"VERDIALES, CALLE",Calle Verdiales,0,0,0.00,2,0,41.10,0,Ninguno,Ninguna,,
"VICTOR HUGO, CALLE",Calle Víctor Hugo,1,1,6.50,1,0,23.20,0,Ninguno,Ninguna,,
"VIEJO DEL FARGUE, CAMINO",Camino Viejo del Fargue,1,1,4.90,0,0,0.00,0,Ninguno,Ninguna,,
"VILLA DE O?A, CALLE",Calle Villa de Oña,1,2,11.00,0,0,0.00,0,Ninguno,Ninguna,,
"VIOLETA PARRA, CALLE",Calle Violeta Parra,1,1,4.70,0,0,0.00,0,Ninguno,Ninguna,,
"VIOLETAS, CALLE",Calle Violetas,1,1,5.00,0,0,0.00,0,Ninguno,Ninguna,,
"VIRGEN BLANCA, CALLE",Calle Virgen Blanca,1,2,11.60,2,0,35.80,0,Ninguno,Ninguna,,
"VIRGEN DE LA CONSOLACION, CALLE",Calle Virgen de la Consolación,2,3,15.60,1,0,14.90,0,Ninguno,Ninguna,,
"VIRGEN DE LORETO, CALLE",Calle Virgen de Loreto,3,4,25.71,0,0,0.00,0,Ninguno,Ninguna,,
"VIRGEN DEL MONTE, CALLE",Calle Virgen del Monte,0,0,0.00,2,0,30.80,0,Ninguno,Ninguna,,
"VIRGEN DEL PILAR, CALLE",Calle Virgen del Pilar,2,2,11.60,0,0,0.00,0,Ninguno,Ninguna,,
"VIRGEN DEL ROCIO, CALLE",Calle Virgen del Rocío,1,1,4.10,0,0,0.00,0,Ninguno,Ninguna,,
"WASHINGTON IRVING, CALLE",Calle Washington Irving,0,0,0.00,1,0,10.20,0,Ninguno,Ninguna,,
"ZUBIA, CAMINO, DE LA",Camino de La Zubia,2,2,9.90,1,0,13.80,0,Ninguno,Ninguna,,
